City,Canton,Latitude,Longitude,Population,Municipality,PostalCode
Aeugst am Albis,ZH,47.26870659169308,8.487911353880977,0,Aeugst am Albis,8914
Aeugstertal,ZH,47.282707711525426,8.493639300888871,0,Aeugst am Albis,8914
Zwillikon,ZH,47.28957184151544,8.433816383816968,0,Affoltern am Albis,8909
Affoltern am Albis,ZH,47.27878665088302,8.454394255635176,0,Affoltern am Albis,8910
Bonstetten,ZH,47.31603645125777,8.462510333349584,0,Bonstetten,8906
Sihlbrugg,ZH,47.22116099918424,8.57526328532996,0,Hausen am Albis,6340
Hausen am Albis,ZH,47.24954819404093,8.532982345597237,0,Hausen am Albis,8915
Ebertswil,ZH,47.227909514233566,8.553380376817875,0,Hausen am Albis,8925
Hedingen,ZH,47.30233830422904,8.450402732189215,0,Hedingen,8908
Kappel am Albis,ZH,47.22850467904602,8.518397983901899,0,Kappel am Albis,8926
Hauptikon,ZH,47.2325473484479,8.49443521433375,0,Kappel am Albis,8926
Uerzlikon,ZH,47.21811361049676,8.499050491730666,0,Kappel am Albis,8926
Knonau,ZH,47.22429178974388,8.463070514398174,0,Knonau,8934
Maschwanden,ZH,47.23566580505311,8.430865808171731,0,Maschwanden,8933
Mettmenstetten,ZH,47.24873654955973,8.466211623297735,0,Mettmenstetten,8932
Affoltern am Albis,ZH,47.27136556963976,8.438567685084154,0,Obfelden,8910
Obfelden,ZH,47.260397515169295,8.422386633606727,0,Obfelden,8912
Ottenbach,ZH,47.281075029152625,8.408574839512227,0,Ottenbach,8913
Rifferswil,ZH,47.245500568314604,8.494887179527833,0,Rifferswil,8911
Adliswil,ZH,47.31210529034569,8.505877599105137,0,Stallikon,8134
Stallikon,ZH,47.329713161264756,8.489620691164005,0,Stallikon,8143
Uetliberg,ZH,47.348511837034664,8.491735690409815,0,Stallikon,8143
Wettswil,ZH,47.337402201764085,8.470612514879852,0,Wettswil am Albis,8907
Benken ZH,ZH,47.65377796251362,8.654666544357353,0,Benken (ZH),8463
Berg am Irchel,ZH,47.56297524636508,8.585741053392127,0,Berg am Irchel,8415
Gräslikon,ZH,47.55600242385774,8.605113275160601,0,Berg am Irchel,8415
Buch am Irchel,ZH,47.55047880538237,8.625154489252619,0,Buch am Irchel,8414
Dachsen,ZH,47.6617499423667,8.62437529263727,0,Dachsen,8447
Dorf,ZH,47.5712719631618,8.64932974753579,0,Dorf,8458
Feuerthalen,ZH,47.68902348007601,8.644166019684505,0,Feuerthalen,8245
Langwiesen,ZH,47.68335283582841,8.662656729449107,0,Feuerthalen,8246
Flaach,ZH,47.583401999004295,8.601940328056678,0,Flaach,8416
Flurlingen,ZH,47.6836038261692,8.6355100827768,0,Flurlingen,8247
Henggart,ZH,47.56038766231421,8.680830541990279,0,Henggart,8444
Kleinandelfingen,ZH,47.60679238878254,8.684949094705372,0,Kleinandelfingen,8451
Alten,ZH,47.596902623289495,8.640865572663692,0,Kleinandelfingen,8453
Oerlingen,ZH,47.623230234051334,8.677585176683852,0,Kleinandelfingen,8461
Nohl,ZH,47.66327005571952,8.610294829282594,0,Laufen-Uhwiesen,8212
Uhwiesen,ZH,47.66931255982341,8.650169370351245,0,Laufen-Uhwiesen,8248
Dachsen,ZH,47.67559683678512,8.613741920382957,0,Laufen-Uhwiesen,8447
Marthalen,ZH,47.61833178249139,8.638588343762152,0,Marthalen,8460
Ellikon am Rhein,ZH,47.60219070959053,8.606011200204264,0,Marthalen,8464
Trüllikon,ZH,47.62522371981104,8.689871286088065,0,Ossingen,8466
Ossingen,ZH,47.611326411356856,8.721858087343579,0,Ossingen,8475
Rheinau,ZH,47.6276412561848,8.618020226084239,0,Rheinau,8462
Ellikon am Rhein,ZH,47.603579815000714,8.608697130502751,0,Rheinau,8464
Thalheim an der Thur,ZH,47.582005112517386,8.745260537156133,0,Thalheim an der Thur,8478
Rudolfingen,ZH,47.63812495884512,8.671263890425347,0,Trüllikon,8465
Wildensbuch,ZH,47.65096026924722,8.679796274412938,0,Trüllikon,8465
Trüllikon,ZH,47.636300010441765,8.700218444114457,0,Trüllikon,8466
Truttikon,ZH,47.632404072922114,8.729610675287738,0,Truttikon,8467
Volken,ZH,47.576626095025695,8.63146624787636,0,Volken,8459
Bülach,ZH,47.51030825103764,8.564421710307736,0,Bachenbülach,8180
Bachenbülach,ZH,47.50111301988018,8.545321773102083,0,Bachenbülach,8184
Bassersdorf,ZH,47.4402100963228,8.625925501111519,0,Bassersdorf,8303
Bülach,ZH,47.53066414014792,8.545629418604193,0,Bülach,8180
Glattfelden,ZH,47.54902720615962,8.52455019228672,0,Bülach,8192
Dietlikon,ZH,47.424879085999095,8.612448140785865,0,Dietlikon,8305
Dübendorf,ZH,47.408266936621025,8.624613634737624,0,Dietlikon,8600
Eglisau,ZH,47.57234105609508,8.523048290350431,0,Eglisau,8193
Rafz,ZH,47.591164628469734,8.54163622790016,0,Eglisau,8197
Embrach,ZH,47.51005354341258,8.599599424268161,0,Embrach,8424
Freienstein,ZH,47.532500535774496,8.596010573902099,0,Freienstein-Teufen,8427
Teufen ZH,ZH,47.551541644540876,8.573868112983238,0,Freienstein-Teufen,8428
Glattfelden,ZH,47.555370250687645,8.502318141225754,0,Glattfelden,8192
Zweidlen,ZH,47.56722624991207,8.472620532989675,0,Glattfelden,8192
Eglisau,ZH,47.578883855806644,8.495676835775107,0,Glattfelden,8193
Hochfelden,ZH,47.528038918560895,8.508463863227513,0,Hochfelden,8182
Glattfelden,ZH,47.53939418004454,8.499386931777147,0,Hochfelden,8192
Höri,ZH,47.508036643633844,8.500889987738475,0,Höri,8181
Hüntwangen,ZH,47.59304235665857,8.498233472146518,0,Hüntwangen,8194
Kloten,ZH,47.45875671859486,8.582091155537297,0,Kloten,8302
Nürensdorf,ZH,47.463008407628706,8.626374801225266,0,Kloten,8309
Lufingen,ZH,47.48180331110547,8.59476071876244,0,Lufingen,8426
Nürensdorf,ZH,47.45497196842903,8.651219194297617,0,Nürensdorf,8309
Oberembrach,ZH,47.489572766334916,8.633535285859539,0,Oberembrach,8425
Zürich,ZH,47.417441315355546,8.562018170699973,0,Opfikon,8052
Glattbrugg,ZH,47.43257737153295,8.562290912636868,0,Opfikon,8152
Opfikon,ZH,47.429507445810145,8.58278154704013,0,Opfikon,8152
Glattpark (Opfikon),ZH,47.420834580983005,8.56360883679273,0,Opfikon,8152
Rafz,ZH,47.60824871844842,8.544794368574516,0,Rafz,8197
Rorbas,ZH,47.53234250825681,8.569017300812781,0,Rorbas,8427
Teufen ZH,ZH,47.54321157053543,8.56967853913154,0,Rorbas,8428
Wallisellen,ZH,47.42120835564036,8.596275289414212,0,Wallisellen,8304
Wasterkingen,ZH,47.59653371393546,8.471969517538314,0,Wasterkingen,8195
Wil ZH,ZH,47.61031840123572,8.477909004862338,0,Wasterkingen,8196
Wil ZH,ZH,47.6121795196919,8.501493934474368,0,Wil (ZH),8196
Rafz,ZH,47.59272753366639,8.536014125707087,0,Wil (ZH),8197
Bülach,ZH,47.50703316748673,8.56796055493353,0,Winkel,8180
Winkel,ZH,47.48206540880701,8.558279067118654,0,Winkel,8185
Bachs,ZH,47.52876405918519,8.425734543088465,0,Bachs,8164
Boppelsen,ZH,47.469943607786306,8.407193997162128,0,Boppelsen,8113
Regensberg,ZH,47.48150123114655,8.402681006723752,0,Boppelsen,8158
Buchs ZH,ZH,47.458666737047764,8.440635794612604,0,Buchs (ZH),8107
Dällikon,ZH,47.43900370723226,8.432374752330643,0,Dällikon,8108
Dänikon ZH,ZH,47.44435460474701,8.404722680308707,0,Dänikon,8114
Dielsdorf,ZH,47.475632240708016,8.45519210400892,0,Dielsdorf,8157
Hüttikon,ZH,47.441101681351554,8.392296033212872,0,Hüttikon,8115
Steinmaur,ZH,47.51083460255063,8.456907336746792,0,Neerach,8162
Bachs,ZH,47.51386684808188,8.461177224999393,0,Neerach,8164
Neerach,ZH,47.506502386749794,8.475461451569268,0,Neerach,8173
Stadel b. Niederglatt,ZH,47.52090894792515,8.473982406586178,0,Neerach,8174
Niederhasli,ZH,47.49126851860967,8.48034588187964,0,Niederglatt,8155
Niederglatt ZH,ZH,47.491929810668886,8.500823098983876,0,Niederglatt,8172
Niederhasli,ZH,47.47667575967665,8.486615493555027,0,Niederhasli,8155
Nassenwil,ZH,47.46745304006514,8.471016354201854,0,Niederhasli,8155
Oberhasli,ZH,47.46063587517245,8.499283664007256,0,Niederhasli,8156
Niederweningen,ZH,47.496889586670505,8.374606054966783,0,Niederweningen,8166
Oberglatt ZH,ZH,47.48036222225749,8.524915084359433,0,Oberglatt,8154
Siglistorf,ZH,47.52759892591363,8.4007536766839,0,Oberweningen,5462
Oberweningen,ZH,47.50402396736293,8.405782409230724,0,Oberweningen,8165
Buchs ZH,ZH,47.455590550903786,8.413565967607223,0,Otelfingen,8107
Otelfingen,ZH,47.46575050607248,8.384998354554309,0,Otelfingen,8112
Regensberg,ZH,47.47567206334546,8.42287643082613,0,Regensberg,8158
Regensdorf,ZH,47.4319379157927,8.465826285684395,0,Regensdorf,8105
Watt,ZH,47.44423326997264,8.485664012615931,0,Regensdorf,8105
Adlikon b. Regensdorf,ZH,47.452401770422426,8.459002804922823,0,Regensdorf,8106
Zürich,ZH,47.43260377966216,8.540725263045537,0,Rümlang,8052
Glattbrugg,ZH,47.43353876406498,8.554663155235872,0,Rümlang,8152
Rümlang,ZH,47.44846392224187,8.52830156752117,0,Rümlang,8153
Schleinikon,ZH,47.49436024317576,8.39112726797213,0,Schleinikon,8165
Schöfflisdorf,ZH,47.499582387905214,8.420413812649604,0,Schöfflisdorf,8165
Stadel b. Niederglatt,ZH,47.526991174864094,8.469859656748854,0,Stadel,8174
Windlach,ZH,47.547795843593754,8.474257205707701,0,Stadel,8175
Niederhasli,ZH,47.491392223199455,8.474590065376153,0,Steinmaur,8155
Steinmaur,ZH,47.499566752920586,8.44695429308184,0,Steinmaur,8162
Sünikon,ZH,47.48805704782521,8.427142750141302,0,Steinmaur,8162
Weiach,ZH,47.553518872194836,8.441509116028257,0,Weiach,8187
Hinwil,ZH,47.32318064449313,8.851503983044887,0,Bäretswil,8340
Bäretswil,ZH,47.336118318534766,8.87394204941022,0,Bäretswil,8344
Adetswil,ZH,47.34256414346185,8.836701805136977,0,Bäretswil,8345
Gibswil,ZH,47.32025132610642,8.908900149088641,0,Bäretswil,8498
Bubikon,ZH,47.27466397518058,8.810813148777084,0,Bubikon,8608
Wolfhausen,ZH,47.25843500627379,8.798031380470405,0,Bubikon,8633
Hinwil,ZH,47.2839140566789,8.851012312835968,0,Dürnten,8340
Bubikon,ZH,47.267504113294216,8.829948397477514,0,Dürnten,8608
Rüti ZH,ZH,47.26384865012475,8.854275814712501,0,Dürnten,8630
Tann,ZH,47.26823205476123,8.849182802364606,0,Dürnten,8632
Dürnten,ZH,47.2748994703006,8.873968872068637,0,Dürnten,8635
Wald ZH,ZH,47.27117977728536,8.890258641010158,0,Dürnten,8636
Hinwil,ZH,47.314635104695164,8.891286316713703,0,Fischenthal,8340
Bauma,ZH,47.35968874964346,8.921140613084981,0,Fischenthal,8494
Steg im Tösstal,ZH,47.34409483966649,8.946241427780548,0,Fischenthal,8496
Fischenthal,ZH,47.33286698673823,8.925077252280353,0,Fischenthal,8497
Gibswil,ZH,47.31621916764147,8.906843198309364,0,Fischenthal,8498
Bertschikon (Gossau ZH),ZH,47.320780888165345,8.757023393601285,0,Gossau (ZH),8614
Mönchaltorf,ZH,47.3095955422479,8.735574920329533,0,Gossau (ZH),8617
Grüt (Gossau ZH),ZH,47.30854393520204,8.782125461016964,0,Gossau (ZH),8624
Gossau ZH,ZH,47.30410472479312,8.757683985195268,0,Gossau (ZH),8625
Ottikon (Gossau ZH),ZH,47.28934345225073,8.78601560170108,0,Gossau (ZH),8626
Grüningen,ZH,47.288551629194764,8.73701161787328,0,Gossau (ZH),8627
Grüningen,ZH,47.278765154276456,8.762113623757584,0,Grüningen,8627
Hinwil,ZH,47.302914016200994,8.85042600289404,0,Hinwil,8340
Wernetshausen,ZH,47.29058960226543,8.877708773082919,0,Hinwil,8342
Gibswil,ZH,47.308712426818225,8.898619529664106,0,Hinwil,8498
Rüti ZH,ZH,47.25805090485419,8.860706042953232,0,Rüti (ZH),8630
Wald ZH,ZH,47.26770492776988,8.903738127861878,0,Rüti (ZH),8636
Aathal-Seegräben,ZH,47.34309566523963,8.767359557100448,0,Seegräben,8607
Fischenthal,ZH,47.314066712565555,8.932103896751995,0,Wald (ZH),8497
Wald ZH,ZH,47.283431035193836,8.925873208076162,0,Wald (ZH),8636
Laupen ZH,ZH,47.26684415154856,8.929785027588784,0,Wald (ZH),8637
Adetswil,ZH,47.33480863845595,8.830090605594927,0,Wetzikon (ZH),8345
Wetzikon ZH,ZH,47.31917077462777,8.807465556596462,0,Wetzikon (ZH),8620
Wetzikon ZH,ZH,47.33217009922238,8.82141480688538,0,Wetzikon (ZH),8623
Zürich,ZH,47.32233637368064,8.513269871915519,0,Adliswil,8041
Adliswil,ZH,47.30790947351196,8.521857425328529,0,Adliswil,8134
Kilchberg ZH,ZH,47.32158525469756,8.545314270547339,0,Kilchberg (ZH),8802
Rüschlikon,ZH,47.31546233125291,8.554338796339186,0,Kilchberg (ZH),8803
Langnau am Albis,ZH,47.28307437789006,8.528289972760183,0,Langnau am Albis,8135
Oberrieden,ZH,47.27285334996683,8.569209484942323,0,Oberrieden,8942
Richterswil,ZH,47.208121446234856,8.695921440587972,0,Richterswil,8805
Samstagern,ZH,47.19379004658602,8.67948206168176,0,Richterswil,8833
Rüschlikon,ZH,47.304614508602164,8.547617515019214,0,Rüschlikon,8803
Gattikon,ZH,47.27821877052136,8.553091141227787,0,Thalwil,8136
Thalwil,ZH,47.28873242010634,8.563761623586169,0,Thalwil,8800
Erlenbach ZH,ZH,47.30399176321523,8.59918522368462,0,Erlenbach (ZH),8703
Erlenbach ZH,ZH,47.29369122212331,8.604055719019238,0,Herrliberg,8703
Herrliberg,ZH,47.29678536503002,8.629232099256791,0,Herrliberg,8704
Grüningen,ZH,47.26494967703241,8.778993972617705,0,Hombrechtikon,8627
Hombrechtikon,ZH,47.25518904357068,8.765860940445442,0,Hombrechtikon,8634
Feldbach,ZH,47.241631700696374,8.785545257475338,0,Hombrechtikon,8714
Forch,ZH,47.322373720578895,8.648898967303692,0,Küsnacht (ZH),8127
Küsnacht ZH,ZH,47.321447208824864,8.596214107930415,0,Küsnacht (ZH),8700
Oetwil am See,ZH,47.26563668852605,8.712196092016388,0,Männedorf,8618
Männedorf,ZH,47.26118103181018,8.696781921709261,0,Männedorf,8708
Meilen,ZH,47.281459882230045,8.646048603739532,0,Meilen,8706
Oetwil am See,ZH,47.27459686556853,8.718220715040642,0,Oetwil am See,8618
Hombrechtikon,ZH,47.24288219609672,8.75555667777745,0,Stäfa,8634
Stäfa,ZH,47.24925618148189,8.728813214962715,0,Stäfa,8712
Uerikon,ZH,47.23790288450715,8.757457980099401,0,Stäfa,8713
Uetikon am See,ZH,47.27120320574424,8.68226867462915,0,Uetikon am See,8707
Zumikon,ZH,47.33589625560546,8.625842113545975,0,Zumikon,8126
Zollikerberg,ZH,47.344652426776065,8.608221655489901,0,Zollikon,8125
Zollikon,ZH,47.341549430766015,8.580677364191617,0,Zollikon,8702
Illnau,ZH,47.404283236731175,8.747317006087508,0,Fehraltorf,8308
Fehraltorf,ZH,47.3874052686299,8.750521186544397,0,Fehraltorf,8320
Hittnau,ZH,47.3672278630916,8.829818323403941,0,Hittnau,8335
Kemptthal,ZH,47.448872984253505,8.703725885185047,0,Lindau,8310
Grafstal,ZH,47.44428629845793,8.697431277735987,0,Lindau,8310
Winterberg ZH,ZH,47.45711103474635,8.690739154903001,0,Lindau,8312
Lindau,ZH,47.443628648656194,8.677375466276608,0,Lindau,8315
Tagelswangen,ZH,47.42676065527313,8.669009149968462,0,Lindau,8317
Pfäffikon ZH,ZH,47.36690541182255,8.796360148509432,0,Pfäffikon,8330
Auslikon,ZH,47.34639779223921,8.809399316555426,0,Pfäffikon,8331
Wetzikon ZH,ZH,47.3381685401677,8.815556157314782,0,Pfäffikon,8623
Madetswil,ZH,47.41220572446654,8.793747217663336,0,Russikon,8322
Gündisau,ZH,47.39830675114356,8.805382075291913,0,Russikon,8322
Russikon,ZH,47.395314150881305,8.783096174084474,0,Russikon,8332
Rumlikon,ZH,47.40836875387567,8.761819469841338,0,Russikon,8332
Agasul,ZH,47.42682371733336,8.746811360680825,0,Weisslingen,8308
Weisslingen,ZH,47.43536150273446,8.77261163376546,0,Weisslingen,8484
Neschwil,ZH,47.4271820569377,8.794576554946492,0,Weisslingen,8484
Theilingen,ZH,47.41739703564332,8.76489293539688,0,Weisslingen,8484
Rikon im Tösstal,ZH,47.44801655900155,8.786795145939955,0,Weisslingen,8486
Wila,ZH,47.40055757068583,8.867380297062251,0,Wila,8492
Saland,ZH,47.396843924772405,8.858048177777723,0,Wila,8493
Madetswil,ZH,47.418520515777395,8.80474303500918,0,Wildberg,8322
Turbenthal,ZH,47.439030878711584,8.83155023145853,0,Wildberg,8488
Wildberg,ZH,47.427474184181285,8.819649743614784,0,Wildberg,8489
Schalchen,ZH,47.40555088030224,8.833423663245771,0,Wildberg,8489
Ehrikon,ZH,47.416354436527136,8.812074009287038,0,Wildberg,8489
Gockhausen,ZH,47.37846195674399,8.604425594944797,0,Dübendorf,8044
Zürich,ZH,47.39350648665631,8.589022233520566,0,Dübendorf,8051
Dübendorf,ZH,47.392767667436225,8.620954342515939,0,Dübendorf,8600
Schwerzenbach,ZH,47.38646509527682,8.646336407555946,0,Dübendorf,8603
Forch,ZH,47.30566472246291,8.662024467794078,0,Egg,8127
Egg b. Zürich,ZH,47.29273027912083,8.687626144446783,0,Egg,8132
Hinteregg,ZH,47.31108208428653,8.684547456355146,0,Egg,8132
Esslingen,ZH,47.289232465534425,8.716084997788933,0,Egg,8133
Fällanden,ZH,47.37038005952463,8.64085556537135,0,Fällanden,8117
Pfaffhausen,ZH,47.366076629870314,8.625834124642964,0,Fällanden,8118
Benglen,ZH,47.361208645489334,8.636745925676992,0,Fällanden,8121
Greifensee,ZH,47.36617957444976,8.67978104151809,0,Greifensee,8606
Binz,ZH,47.356688615933656,8.62714754196478,0,Maur,8122
Ebmatingen,ZH,47.35139600466887,8.63942801606883,0,Maur,8123
Maur,ZH,47.332520041714695,8.670572255086789,0,Maur,8124
Forch,ZH,47.33460745603274,8.654119906750275,0,Maur,8127
Hinteregg,ZH,47.316977467081216,8.68336232801345,0,Maur,8132
Aathal-Seegräben,ZH,47.328562779260274,8.758535529721236,0,Mönchaltorf,8607
Mönchaltorf,ZH,47.3123065910098,8.719472780131484,0,Mönchaltorf,8617
Dübendorf,ZH,47.390970008723315,8.650132553146598,0,Schwerzenbach,8600
Schwerzenbach,ZH,47.38236042009272,8.656313473794413,0,Schwerzenbach,8603
Gutenswil,ZH,47.37679457690438,8.7146734553444,0,Uster,8605
Nänikon,ZH,47.37136553147202,8.692812632626175,0,Uster,8606
Uster,ZH,47.352750229671656,8.722717093830523,0,Uster,8610
Sulzbach,ZH,47.32724668054481,8.746736156576246,0,Uster,8614
Wermatswil,ZH,47.36590914596247,8.740617898454992,0,Uster,8615
Freudwil,ZH,47.37668819357396,8.732563652508222,0,Uster,8615
Riedikon,ZH,47.32892924442748,8.710460234518932,0,Uster,8616
Mönchaltorf,ZH,47.32693521216335,8.735766530076761,0,Uster,8617
Effretikon,ZH,47.41183044379324,8.682460581742713,0,Volketswil,8307
Volketswil,ZH,47.39486433897833,8.681958816480575,0,Volketswil,8604
Gutenswil,ZH,47.38651767027212,8.717574035685944,0,Volketswil,8605
Brüttisellen,ZH,47.42218616368609,8.637020462627834,0,Wangen-Brüttisellen,8306
Wangen b. Dübendorf,ZH,47.40872203057851,8.650518158040128,0,Wangen-Brüttisellen,8602
Altikon,ZH,47.57821306537119,8.784487579228761,0,Altikon,8479
Brütten,ZH,47.475232536457966,8.675184951624297,0,Brütten,8311
Rutschwil (Dägerlen),ZH,47.556279715111366,8.732785548705644,0,Dägerlen,8471
Dägerlen,ZH,47.561364458846924,8.716605325571045,0,Dägerlen,8471
Oberwil (Dägerlen),ZH,47.571311974998764,8.714650031988254,0,Dägerlen,8471
Berg (Dägerlen),ZH,47.56660146881929,8.733289554599372,0,Dägerlen,8471
Bänk (Dägerlen),ZH,47.54890920849331,8.738671302741118,0,Dägerlen,8471
Dättlikon,ZH,47.52858201504581,8.623523171011907,0,Dättlikon,8421
Dinhard,ZH,47.55912497430107,8.765165363560921,0,Dinhard,8474
Ellikon an der Thur,ZH,47.56245731384108,8.827220439669107,0,Ellikon an der Thur,8548
Elsau,ZH,47.50224214680485,8.804811911329173,0,Elsau,8352
Gerlikon,ZH,47.52769445750295,8.875508588104292,0,Hagenbuch,8500
Hagenbuch ZH,ZH,47.51464240347178,8.874054485363839,0,Hagenbuch,8523
Hettlingen,ZH,47.54810659301347,8.710725043684704,0,Hettlingen,8442
Aesch (Neftenbach),ZH,47.54465135810802,8.677500146570514,0,Neftenbach,8412
Riet (Neftenbach),ZH,47.5371882585659,8.689065993876929,0,Neftenbach,8412
Hünikon (Neftenbach),ZH,47.553776480004075,8.663382714158269,0,Neftenbach,8412
Neftenbach,ZH,47.531451826773726,8.66329537118961,0,Neftenbach,8413
Pfungen,ZH,47.50972556603519,8.642368739518986,0,Pfungen,8422
Rickenbach ZH,ZH,47.55374902495544,8.795570400673322,0,Rickenbach (ZH),8545
Rickenbach Sulz,ZH,47.54120201763564,8.78750289234792,0,Rickenbach (ZH),8545
Hofstetten ZH,ZH,47.472810586424494,8.839626924959333,0,Schlatt (ZH),8354
Winterthur,ZH,47.47151148016299,8.798589332845177,0,Schlatt (ZH),8405
Schlatt ZH,ZH,47.47149138272518,8.818521402753836,0,Schlatt (ZH),8418
Seuzach,ZH,47.53483566477892,8.724353074526844,0,Seuzach,8472
Bichelsee,ZH,47.434054819179245,8.92130422393863,0,Turbenthal,8363
Turbenthal,ZH,47.43820962411587,8.875733867406934,0,Turbenthal,8488
Wila,ZH,47.411514754649694,8.863807564380634,0,Turbenthal,8492
Schmidrüti,ZH,47.41886250645404,8.907591682206352,0,Turbenthal,8495
Kemptthal,ZH,47.460093394159735,8.712190930070193,0,Winterthur,8310
Ricketwil (Winterthur),ZH,47.48689690671149,8.79750344910202,0,Winterthur,8352
Winterthur,ZH,47.48885146772,8.729481588728078,0,Winterthur,8400
Winterthur,ZH,47.50747512122877,8.759223002774188,0,Winterthur,8404
Reutlingen (Winterthur),ZH,47.52774315584786,8.750548477169053,0,Winterthur,8404
Stadel (Winterthur),ZH,47.53819397959311,8.765223164027635,0,Winterthur,8404
Winterthur,ZH,47.47754949775088,8.7782695854847,0,Winterthur,8405
Winterthur,ZH,47.48322456555343,8.700625775994522,0,Winterthur,8406
Winterthur,ZH,47.50773949707503,8.683342209696512,0,Winterthur,8408
Winterthur,ZH,47.50982510535263,8.781455850529243,0,Winterthur,8409
Sennhof (Winterthur),ZH,47.46734822705865,8.758044451427674,0,Winterthur,8482
Wiesendangen,ZH,47.53164821562131,8.777761479874679,0,Winterthur,8542
Rickenbach Sulz,ZH,47.53516521303523,8.782573524140554,0,Winterthur,8545
Kollbrunn,ZH,47.45513703148285,8.785673936745717,0,Zell (ZH),8483
Rikon im Tösstal,ZH,47.449872414813875,8.804925341810984,0,Zell (ZH),8486
Zell ZH,ZH,47.45175151643375,8.831119400334869,0,Zell (ZH),8487
Rämismühle,ZH,47.44034860675677,8.818467439713086,0,Zell (ZH),8487
Aesch ZH,ZH,47.335480443413395,8.435471511392032,0,Aesch (ZH),8904
Uitikon Waldegg,ZH,47.35585979796093,8.465289722474758,0,Birmensdorf (ZH),8142
Birmensdorf ZH,ZH,47.35195843805648,8.439581720203057,0,Birmensdorf (ZH),8903
Dietikon,ZH,47.40004401146718,8.398141750747978,0,Dietikon,8953
Fahrweid,ZH,47.41493835080796,8.410120111262122,0,Geroldswil,8951
Geroldswil,ZH,47.42290857865339,8.413091339224973,0,Geroldswil,8954
Oberengstringen,ZH,47.41132082251315,8.46503601621043,0,Oberengstringen,8102
Oetwil an der Limmat,ZH,47.42949539077371,8.392886637349145,0,Oetwil an der Limmat,8955
Urdorf,ZH,47.39065083422077,8.435109162562297,0,Schlieren,8902
Schlieren,ZH,47.394197635780515,8.449624211908466,0,Schlieren,8952
Uitikon Waldegg,ZH,47.366697120448336,8.45485947771037,0,Uitikon,8142
Uetliberg,ZH,47.353559224338134,8.48598066603939,0,Uitikon,8143
Unterengstringen,ZH,47.41124152035877,8.444449408397965,0,Unterengstringen,8103
Fahrweid,ZH,47.4042799270901,8.414648243526338,0,Unterengstringen,8951
Urdorf,ZH,47.382141356365096,8.423872439700938,0,Urdorf,8902
Weiningen ZH,ZH,47.421621188805894,8.437162959630145,0,Weiningen (ZH),8104
Fahrweid,ZH,47.40761677394007,8.415124877557028,0,Weiningen (ZH),8951
Zürich,ZH,47.37293396898069,8.541367614572195,0,Zürich,8001
Zürich,ZH,47.360172437940406,8.531300730866354,0,Zürich,8002
Zürich,ZH,47.37257856739081,8.51614210789703,0,Zürich,8003
Zürich,ZH,47.3779991514411,8.52337031414391,0,Zürich,8004
Zürich,ZH,47.38676633360312,8.520684105083072,0,Zürich,8005
Zürich,ZH,47.38576567115706,8.543174739411576,0,Zürich,8006
Zürich,ZH,47.35624521318542,8.562641486858126,0,Zürich,8008
Zürich,ZH,47.36668879491585,8.564438726283763,0,Zürich,8032
Zürich,ZH,47.3984949048226,8.524261806646647,0,Zürich,8037
Zürich,ZH,47.340197229168844,8.531490726907995,0,Zürich,8038
Zürich,ZH,47.33605960304109,8.51566433066153,0,Zürich,8041
Zürich,ZH,47.38041487890491,8.572830342131576,0,Zürich,8044
Zürich,ZH,47.35161517317756,8.505708096143717,0,Zürich,8045
Zürich,ZH,47.422177379352476,8.508278676032017,0,Zürich,8046
Zürich,ZH,47.37389232987506,8.48702183633808,0,Zürich,8047
Zürich,ZH,47.386746843988185,8.483871092050235,0,Zürich,8048
Zürich,ZH,47.40869838778324,8.500466748245014,0,Zürich,8049
Zürich,ZH,47.41193800921026,8.550802019041287,0,Zürich,8050
Zürich,ZH,47.399651012842575,8.578819309116739,0,Zürich,8051
Zürich,ZH,47.42446413848374,8.54064319433929,0,Zürich,8052
Zürich,ZH,47.36128969479881,8.597418711698632,0,Zürich,8053
Zürich,ZH,47.364188801410705,8.490292041721137,0,Zürich,8055
Zürich,ZH,47.399925838858,8.54739260756406,0,Zürich,8057
Zürich,ZH,47.39865759486881,8.485247272811623,0,Zürich,8064
Zollikerberg,ZH,47.35110810338131,8.602249771202525,0,Zürich,8125
Adliswil,ZH,47.32710267168554,8.529323757896245,0,Zürich,8134
Uitikon Waldegg,ZH,47.3652676495861,8.468942954458953,0,Zürich,8142
Uetliberg,ZH,47.34965256342063,8.492029625639969,0,Zürich,8143
Glattbrugg,ZH,47.430049859050136,8.553773077830575,0,Zürich,8152
Schlieren,ZH,47.401167559509105,8.467768802837213,0,Zürich,8952
Andelfingen,ZH,47.594716181552336,8.675343203557901,0,Andelfingen,8450
Adlikon b. Andelfingen,ZH,47.57685818851976,8.704986013834539,0,Andelfingen,8452
Humlikon,ZH,47.574854254840886,8.675924419927403,0,Andelfingen,8457
Waltalingen,ZH,47.62082941247906,8.766981680141667,0,Stammheim,8468
Guntalingen,ZH,47.635397885963556,8.75965773610412,0,Stammheim,8468
Unterstammheim,ZH,47.647642608111745,8.789716854735063,0,Stammheim,8476
Oberstammheim,ZH,47.628434769154055,8.804789009151639,0,Stammheim,8477
Wilen b. Neunforn,ZH,47.60371596851536,8.795442698328703,0,Stammheim,8525
Au ZH,ZH,47.24392572814526,8.644938275686831,0,Wädenswil,8804
